                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.89743,                0.66676,                 1.2341,                0.97222,                0.96296,                0.98335,                0.80683,                0.72632,                0.44763,                 1.1049,              0.0014588,              0.0014588,              0.0014588
                     84,                0.86452,                0.66785,                 1.2347,                0.97561,                0.98752,                0.99392,                0.80032,                0.70863,                0.42472,                 1.1221,              0.0014522,              0.0014522,              0.0014522
                     85,                0.86524,                0.66383,                 1.2382,                0.98746,                0.97245,                0.99118,                 0.7867,                0.70904,                 0.4295,                 1.1218,              0.0014456,              0.0014456,              0.0014456
                     86,                 0.8296,                0.65056,                 1.2178,                      1,                0.97405,                0.99354,                0.78795,                0.72123,                0.45614,                 1.1378,               0.001439,               0.001439,               0.001439
                     87,                0.84651,                0.62415,                 1.2228,                 0.9866,                0.97531,                0.98855,                0.79295,                0.73315,                0.44276,                 1.1464,              0.0014324,              0.0014324,              0.0014324
                     88,                0.87504,                0.64904,                 1.2414,                0.96296,                0.96291,                0.97768,                0.80192,                0.72608,                0.47708,                 1.1204,              0.0014258,              0.0014258,              0.0014258
                     89,                0.91971,                 0.6873,                 1.2619,                0.94925,                0.97531,                0.96715,                0.78806,                 0.7443,                0.43637,                 1.1372,              0.0014192,              0.0014192,              0.0014192
                     90,                0.84314,                0.61174,                 1.2098,                0.96001,                0.97531,                0.98065,                0.77959,                0.74884,                 0.4271,                 1.1338,              0.0014126,              0.0014126,              0.0014126
                     91,                0.88172,                0.59292,                 1.2288,                 0.9825,                0.96296,                0.98401,                0.79872,                0.72634,                0.41606,                 1.1303,               0.001406,               0.001406,               0.001406
                     92,                0.86343,                0.61667,                 1.2335,                0.96343,                0.97578,                0.99135,                0.80328,                0.70953,                0.43904,                  1.119,              0.0013994,              0.0013994,              0.0013994
                     93,                0.87988,                 0.6332,                 1.2258,                0.97577,                0.99441,                0.99451,                0.80772,                0.73724,                0.38811,                  1.106,              0.0013928,              0.0013928,              0.0013928
                     94,                 0.8792,                0.66186,                 1.2441,                0.99422,                0.98765,                0.99476,                0.81171,                0.67774,                 0.3861,                 1.1056,              0.0013862,              0.0013862,              0.0013862
                     95,                0.90574,                0.63866,                 1.2453,                 0.9619,                0.97531,                0.98035,                0.80124,                0.72355,                0.41695,                 1.1192,              0.0013796,              0.0013796,              0.0013796
                     96,                0.83887,                0.59525,                 1.2129,                0.98567,                0.98765,                0.98305,                0.81436,                0.70802,                0.40876,                 1.1147,               0.001373,               0.001373,               0.001373
                     97,                0.85611,                0.61688,                 1.2158,                0.94108,                0.98591,                0.97927,                0.80241,                0.72241,                0.39776,                 1.1401,              0.0013664,              0.0013664,              0.0013664
                     98,                0.89133,                0.63485,                   1.25,                0.99424,                0.98765,                 0.9938,                0.80967,                0.69021,                0.41173,                 1.1227,              0.0013598,              0.0013598,              0.0013598
